5.31632,6.16288,6.51462,6.92971,7.39315,7.76835
5.44835,6.14007,6.42367,6.92842,7.398,7.69158
5.68624,6.17667,6.31958,7.07195,7.4438,7.59868
5.86289,6.03451,6.53018,6.99477,7.43582,7.5953
5.89239,6.0581,6.48962,7.1329,7.41745,7.63497
5.81635,6.1735,6.57358,7.0917,7.48206,7.64106
5.82774,6.15758,6.53679,7.11367,7.45882,7.68867
5.90895,6.16778,6.57504,7.16813,7.47693,7.68475
5.88173,6.17106,6.53196,7.15977,7.50671,7.72164
5.89243,6.18555,6.58425,7.14085,7.50026,7.70759
5.92626,6.21795,6.58708,7.16272,7.55167,7.73292
5.93957,6.24727,6.61312,7.20128,7.56131,7.77597
5.95507,6.26692,6.65091,7.25634,7.60002,7.83891
5.96196,6.27299,6.67489,7.27923,7.60464,7.84486
5.99579,6.29984,6.70503,7.33783,7.74034,7.85843
6.01164,6.33923,6.7551,7.38442,7.77232,8.01225
6.04101,6.3735,6.79828,7.50296,7.78826,8.24289
6.04095,6.37048,6.80661,7.42993,7.80523,7.94354
6.07868,6.41213,6.88841,7.53843,7.93116,8.35581
6.11976,6.5172,7.00201,7.61769,8.38509,8.44294
