ManualShift,X,Y,
(11,6),6,-6
(12,6),7,-6
(13,6),7,-6
(14,6),7,-6
(15,6),8,-6
(16,6),8,-6
(17,6),8,-6
(18,6),9,-6
(19,6),9,-6
(20,6),10,-6
(21,6),10,-6
(22,6),11,-6
(23,6),12,-6
(24,6),12,-6
(25,6),12,-6
(26,6),12,-6
(27,6),13,-6
(28,6),14,-6
(29,6),13,-6
(30,6),14,-6
(31,6),14,-6
(32,6),15,-6
(33,6),15,-6
(34,6),15,-6
(35,6),16,-6
(36,6),15,-6
(37,6),16,-6
(38,6),16,-6
(39,6),16,-6
(0,7),0,-5
(1,7),1,-5
(2,7),2,-5
(3,7),3,-5
(4,7),2,-5
(5,7),3,-5
(6,7),3,-5
(7,7),4,-5
(8,7),5,-5
(9,7),5,-5
(10,7),6,-5
(11,7),6,-5
(12,7),7,-5
(13,7),7,-5
(14,7),7,-5
(15,7),8,-5
(16,7),8,-5
(17,7),8,-5
(18,7),9,-5
(19,7),9,-5
(20,7),10,-5
(21,7),10,-5
(22,7),11,-5
(23,7),12,-5
(24,7),12,-5
(25,7),12,-5
(26,7),12,-5
(27,7),13,-5
(28,7),14,-5
(29,7),13,-5
(30,7),14,-5
(31,7),14,-5
(32,7),15,-5
(33,7),15,-5
(34,7),15,-5
(35,7),16,-5
(36,7),15,-5
(37,7),16,-5
(38,7),16,-5
(39,7),16,-5
(0,8),0,-4
(1,8),1,-4
(2,8),2,-4
(3,8),3,-4
(4,8),2,-4
(5,8),3,-4
(6,8),3,-4
(7,8),4,-4
(8,8),5,-4
(9,8),5,-4
(10,8),6,-4
(11,8),6,-4
(12,8),7,-4
(13,8),7,-4
(14,8),7,-4
(15,8),8,-4
(16,8),8,-4
(17,8),8,-4
(18,8),9,-4
(19,8),9,-4
(20,8),10,-4
(21,8),10,-4
(22,8),11,-4
(23,8),12,-4
(24,8),12,-4
(25,8),12,-4
(26,8),12,-4
(27,8),13,-4
(28,8),14,-4
(29,8),13,-4
(30,8),14,-4
(31,8),14,-4
(32,8),15,-4
(33,8),15,-4
(34,8),15,-4
(35,8),16,-4
(36,8),15,-4
(37,8),16,-4
(38,8),16,-4
(39,8),16,-4
(0,9),0,-4
(1,9),1,-4
(2,9),2,-4
(3,9),3,-4
(4,9),2,-4
(5,9),3,-4
(6,9),3,-4
(7,9),4,-4
(8,9),5,-4
(9,9),5,-4
(10,9),6,-4
(11,9),6,-4
(12,9),7,-4
(13,9),7,-4
(14,9),7,-4
(15,9),8,-4
(16,9),8,-4
(17,9),8,-4
(18,9),9,-4
(19,9),9,-4
(20,9),10,-4
(21,9),10,-4
(22,9),11,-4
(23,9),12,-4
(24,9),12,-4
(25,9),12,-4
(26,9),12,-4
(27,9),13,-4
(28,9),14,-4
(29,9),13,-4
(30,9),14,-4
(31,9),14,-4
(32,9),15,-4
(33,9),15,-4
(34,9),15,-4
(35,9),16,-4
(36,9),15,-4
(37,9),16,-4
(38,9),16,-4
(39,9),16,-4
(0,10),0,-4
(1,10),1,-4
(2,10),2,-4
(3,10),3,-4
(4,10),2,-4
(5,10),3,-4
(6,10),3,-4
(7,10),4,-4
(8,10),5,-4
(9,10),5,-4
(10,10),6,-4
(11,10),6,-4
(12,10),7,-4
(13,10),7,-4
(14,10),7,-4
(15,10),8,-4
(16,10),8,-4
(17,10),8,-4
(18,10),9,-4
(19,10),9,-4
(20,10),10,-4
(21,10),10,-4
(22,10),11,-4
(23,10),12,-4
(24,10),12,-4
(25,10),12,-4
(26,10),12,-4
(27,10),13,-4
(28,10),14,-4
(29,10),13,-4
(30,10),14,-4
(31,10),14,-4
(32,10),15,-4
(33,10),15,-4
(34,10),15,-4
(35,10),16,-4
(36,10),15,-4
(37,10),16,-4
(38,10),16,-4
(39,10),16,-4
(0,11),0,-4
(1,11),1,-4
(2,11),2,-4
(3,11),3,-4
(4,11),2,-4
(5,11),3,-4
(6,11),3,-4
(7,11),4,-4
(8,11),5,-4
(9,11),5,-4
(10,11),6,-4
(11,11),6,-4
(12,11),7,-4
(13,11),7,-4
(14,11),7,-4
(15,11),8,-4
(16,11),8,-4
(17,11),8,-4
(18,11),9,-4
(19,11),9,-4
(20,11),10,-4
(21,11),10,-4
(22,11),11,-4
(23,11),12,-4
(24,11),12,-4
(25,11),12,-4
(26,11),12,-4
(27,11),13,-4
(28,11),14,-4
(29,11),13,-4
(30,11),14,-4
(31,11),14,-4
(32,11),15,-4
(33,11),15,-4
(34,11),15,-4
(35,11),16,-4
(36,11),15,-4
(37,11),16,-4
(38,11),16,-4
(39,11),16,-4
(0,12),0,-3
(1,12),1,-3
(2,12),2,-3
(3,12),3,-3
(4,12),2,-3
(5,12),3,-3
(6,12),3,-3
(7,12),4,-3
(8,12),5,-3
(9,12),5,-3
(10,12),6,-3
(11,12),6,-3
(12,12),7,-3
(13,12),7,-3
(14,12),7,-3
(15,12),8,-3
(16,12),8,-3
(17,12),8,-3
(18,12),9,-3
(19,12),9,-3
(20,12),10,-3
(21,12),10,-3
(22,12),11,-3
(23,12),12,-3
(24,12),12,-3
(25,12),12,-3
(26,12),12,-3
(27,12),13,-3
(28,12),14,-3
(29,12),13,-3
(30,12),14,-3
(31,12),14,-3
(32,12),15,-3
(33,12),15,-3
(34,12),15,-3
(35,12),16,-3
(36,12),15,-3
(37,12),16,-3
(38,12),16,-3
(39,12),16,-3
(0,13),0,-2
(1,13),1,-2
(2,13),2,-2
(3,13),3,-2
(4,13),2,-2
(5,13),3,-2
(6,13),3,-2
(7,13),4,-2
(8,13),5,-2
(9,13),5,-2
(10,13),6,-2
(11,13),6,-2
(12,13),7,-2
(13,13),7,-2
(14,13),7,-2
(15,13),8,-2
(16,13),8,-2
(17,13),8,-2
(18,13),9,-2
(19,13),9,-2
(20,13),10,-2
(21,13),10,-2
(22,13),11,-2
(23,13),12,-2
(24,13),12,-2
(25,13),12,-2
(26,13),12,-2
(27,13),13,-2
(28,13),14,-2
(29,13),13,-2
(30,13),14,-2
(31,13),14,-2
(32,13),15,-2
(33,13),15,-2
(34,13),15,-2
(35,13),16,-2
(36,13),15,-2
(37,13),16,-2
(38,13),16,-2
(39,13),16,-2
(0,14),0,-3
(1,14),1,-3
(2,14),2,-3
(3,14),3,-3
(4,14),2,-3
(5,14),3,-3
(6,14),3,-3
(7,14),4,-3
(8,14),5,-3
(9,14),5,-3
(10,14),6,-3
(11,14),6,-3
(12,14),7,-3
(13,14),7,-3
(14,14),7,-3
(15,14),8,-3
(16,14),8,-3
(17,14),8,-3
(18,14),9,-3
(19,14),9,-3
(20,14),10,-3
(21,14),10,-3
(22,14),11,-3
(23,14),12,-3
(24,14),12,-3
(25,14),12,-3
(26,14),12,-3
(27,14),13,-3
(28,14),14,-3
(29,14),13,-3
(30,14),14,-3
(31,14),14,-3
(32,14),15,-3
(33,14),15,-3
(34,14),15,-3
(35,14),16,-3
(36,14),15,-3
(37,14),16,-3
(38,14),16,-3
(39,14),16,-3
(0,15),0,-2
(1,15),1,-2
(2,15),2,-2
(3,15),3,-2
(4,15),2,-2
(5,15),3,-2
(6,15),3,-2
(7,15),4,-2
(8,15),5,-2
(9,15),5,-2
(10,15),6,-2
(11,15),6,-2
(12,15),7,-2
(13,15),7,-2
(14,15),7,-2
(15,15),8,-2
(16,15),8,-2
(17,15),8,-2
(18,15),9,-2
(19,15),9,-2
(20,15),10,-2
(21,15),10,-2
(22,15),11,-2
(23,15),12,-2
(24,15),12,-2
(25,15),12,-2
(26,15),12,-2
(27,15),13,-2
(28,15),14,-2
(29,15),13,-2
(30,15),14,-2
(31,15),14,-2
(32,15),15,-2
(33,15),15,-2
(34,15),15,-2
(35,15),16,-2
(36,15),15,-2
(37,15),16,-2
(38,15),16,-2
(39,15),16,-2
(0,16),0,-2
(1,16),1,-2
(2,16),2,-2
(3,16),3,-2
(4,16),2,-2
(5,16),3,-2
(6,16),3,-2
(7,16),4,-2
(8,16),5,-2
(9,16),5,-2
(10,16),6,-2
(11,16),6,-2
(12,16),7,-2
(13,16),7,-2
(14,16),7,-2
(15,16),8,-2
(16,16),8,-2
(17,16),8,-2
(18,16),9,-2
(19,16),9,-2
(20,16),10,-2
(21,16),10,-2
(22,16),11,-2
(23,16),12,-2
(24,16),12,-2
(25,16),12,-2
(26,16),12,-2
(27,16),13,-2
(28,16),14,-2
(29,16),13,-2
(30,16),14,-2
(31,16),14,-2
(32,16),15,-2
(33,16),15,-2
(34,16),15,-2
(35,16),16,-2
(36,16),15,-2
(37,16),16,-2
(38,16),16,-2
(39,16),16,-2
(0,17),0,-1
(1,17),1,-1
(2,17),2,-1
(3,17),3,-1
(4,17),2,-1
(5,17),3,-1
(6,17),3,-1
(7,17),4,-1
(8,17),5,-1
(9,17),5,-1
(10,17),6,-1
(11,17),6,-1
(12,17),7,-1
(13,17),7,-1
(14,17),7,-1
(15,17),8,-1
(16,17),8,-1
(17,17),8,-1
(18,17),9,-1
(19,17),9,-1
(20,17),10,-1
(21,17),10,-1
(22,17),11,-1
(23,17),12,-1
(24,17),12,-1
(25,17),12,-1
(26,17),12,-1
(27,17),13,-1
(28,17),14,-1
(29,17),13,-1
(30,17),14,-1
(31,17),14,-1
(32,17),15,-1
(33,17),15,-1
(34,17),15,-1
(35,17),16,-1
(36,17),15,-1
(37,17),16,-1
(38,17),16,-1
(39,17),16,-1
(0,18),0,0
(1,18),1,0
(2,18),2,0
(3,18),3,0
(4,18),2,0
(5,18),3,0
(6,18),3,0
(7,18),4,0
(8,18),5,0
(9,18),5,0
(10,18),6,0
(11,18),6,0
(12,18),7,0
(13,18),7,0
(14,18),7,0
(15,18),8,0
(16,18),8,0
(17,18),8,0
(18,18),9,0
(19,18),9,0
(20,18),10,0
(21,18),10,0
(22,18),11,0
(23,18),12,0
(24,18),12,0
(25,18),12,0
(26,18),12,0
(27,18),13,0
(28,18),14,0
(29,18),13,0
(30,18),14,0
(31,18),14,0
(32,18),15,0
(33,18),15,0
(34,18),15,0
(35,18),16,0
(36,18),15,0
(37,18),16,0
(38,18),16,0
(39,18),16,0
(0,19),0,0
(1,19),1,0
(2,19),2,0
(3,19),3,0
(4,19),2,0
(5,19),3,0
(6,19),3,0
(7,19),4,0
(8,19),5,0
(9,19),5,0
(10,19),6,0
(11,19),6,0
(12,19),7,0
(13,19),7,0
(14,19),7,0
(15,19),8,0
(16,19),8,0
(17,19),8,0
(18,19),9,0
(19,19),9,0
(20,19),10,0
(21,19),10,0
(22,19),11,0
(23,19),12,0
(24,19),12,0
(25,19),12,0
(26,19),12,0
(27,19),13,0
(28,19),14,0
(29,19),13,0
(30,19),14,0
(31,19),14,0
(32,19),15,0
(33,19),15,0
(34,19),15,0
(35,19),16,0
(36,19),15,0
(37,19),16,0
(38,19),16,0
(39,19),16,0
(0,20),0,0
(1,20),1,0
(2,20),2,0
(3,20),3,0
(4,20),2,0
(5,20),3,0
(6,20),3,0
(7,20),4,0
(8,20),5,0
(9,20),5,0
(10,20),6,0
(11,20),6,0
(12,20),7,0
(13,20),7,0
(14,20),7,0
(15,20),8,0
(16,20),8,0
(17,20),8,0
(18,20),9,0
(19,20),9,0
(20,20),10,0
(21,20),10,0
(22,20),11,0
(23,20),12,0
(24,20),12,0
(25,20),12,0
(26,20),12,0
(27,20),13,0
(28,20),14,0
(29,20),13,0
(30,20),14,0
(31,20),14,0
(32,20),15,0
(33,20),15,0
(34,20),15,0
(35,20),16,0
(36,20),15,0
(37,20),16,0
(38,20),16,0
(39,20),16,0
(0,21),0,0
(1,21),1,0
(2,21),2,0
(3,21),3,0
(4,21),2,0
(5,21),3,0
(6,21),3,0
(7,21),4,0
(8,21),5,0
(9,21),5,0
(10,21),6,0
(11,21),6,0
(12,21),7,0
(13,21),7,0
(14,21),7,0
(15,21),8,0
(16,21),8,0
(17,21),8,0
