ManualShift,X,Y,
(35,34),16,5
(36,34),15,5
(37,34),16,5
(38,34),16,5
(39,34),16,5
(0,35),0,6
(1,35),1,6
(2,35),2,6
(3,35),3,6
(4,35),2,6
(5,35),3,6
(6,35),3,6
(7,35),4,6
(8,35),5,6
(9,35),5,6
(10,35),6,6
(11,35),6,6
(12,35),7,6
(13,35),7,6
(14,35),7,6
(15,35),8,6
(16,35),8,6
(17,35),8,6
(18,35),9,6
(19,35),9,6
(20,35),10,6
(21,35),10,6
(22,35),11,6
(23,35),12,6
(24,35),12,6
(25,35),12,6
(26,35),12,6
(27,35),13,6
(28,35),14,6
(29,35),13,6
(30,35),14,6
(31,35),14,6
(32,35),15,6
(33,35),15,6
(34,35),15,6
(35,35),16,6
(36,35),15,6
(37,35),16,6
(38,35),16,6
(39,35),16,6
(0,36),0,6
(1,36),1,6
(2,36),2,6
(3,36),3,6
(4,36),2,6
(5,36),3,6
(6,36),3,6
(7,36),4,6
(8,36),5,6
(9,36),5,6
(10,36),6,6
(11,36),6,6
(12,36),7,6
(13,36),7,6
(14,36),7,6
(15,36),8,6
(16,36),8,6
(17,36),8,6
(18,36),9,6
(19,36),9,6
(20,36),10,6
(21,36),10,6
(22,36),11,6
(23,36),12,6
(24,36),12,6
(25,36),12,6
(26,36),12,6
(27,36),13,6
(28,36),14,6
(29,36),13,6
(30,36),14,6
(31,36),14,6
(32,36),15,6
(33,36),15,6
(34,36),15,6
(35,36),16,6
(36,36),15,6
(37,36),16,6
(38,36),16,6
(39,36),16,6
(0,37),0,7
(1,37),1,7
(2,37),2,7
(3,37),3,7
(4,37),2,7
(5,37),3,7
(6,37),3,7
(7,37),4,7
(8,37),5,7
(9,37),5,7
(10,37),6,7
(11,37),6,7
(12,37),7,7
(13,37),7,7
(14,37),7,7
(15,37),8,7
(16,37),8,7
(17,37),8,7
(18,37),9,7
(19,37),9,7
(20,37),10,7
(21,37),10,7
(22,37),11,7
(23,37),12,7
(24,37),12,7
(25,37),12,7
(26,37),12,7
(27,37),13,7
(28,37),14,7
(29,37),13,7
(30,37),14,7
(31,37),14,7
(32,37),15,7
(33,37),15,7
(34,37),15,7
(35,37),16,7
(36,37),15,7
(37,37),16,7
(38,37),16,7
(39,37),16,7
(0,38),0,7
(1,38),1,7
(2,38),2,7
(3,38),3,7
(4,38),2,7
(5,38),3,7
(6,38),3,7
(7,38),4,7
(8,38),5,7
(9,38),5,7
(10,38),6,7
(11,38),6,7
(12,38),7,7
(13,38),7,7
(14,38),7,7
(15,38),8,7
(16,38),8,7
(17,38),8,7
(18,38),9,7
(19,38),9,7
(20,38),10,7
(21,38),10,7
(22,38),11,7
(23,38),12,7
(24,38),12,7
(25,38),12,7
(26,38),12,7
(27,38),13,7
(28,38),14,7
(29,38),13,7
(30,38),14,7
(31,38),14,7
(32,38),15,7
(33,38),15,7
(34,38),15,7
(35,38),16,7
(36,38),15,7
(37,38),16,7
(38,38),16,7
(39,38),16,7
(0,39),0,6
(1,39),1,6
(2,39),2,6
(3,39),3,6
(4,39),2,6
(5,39),3,6
(6,39),3,6
(7,39),4,6
(8,39),5,6
(9,39),5,6
(10,39),6,6
(11,39),6,6
(12,39),7,6
(13,39),7,6
(14,39),7,6
(15,39),8,6
(16,39),8,6
(17,39),8,6
(18,39),9,6
(19,39),9,6
(20,39),10,6
(21,39),10,6
(22,39),11,6
(23,39),12,6
(24,39),12,6
(25,39),12,6
(26,39),12,6
(27,39),13,6
(28,39),14,6
(29,39),13,6
(30,39),14,6
(31,39),14,6
(32,39),15,6
(33,39),15,6
(34,39),15,6
(35,39),16,6
(36,39),15,6
(37,39),16,6
(38,39),16,6
(39,39),16,6
