ManualShift,X,Y
,0,0

Column,X_Shift,Y_Shift
0,-14,0
1,-14,0
2,-14,0
3,-13,0
4,-13,0
5,-12,0
6,-11,0
7,-10,0
8,-9,0
9,-9,0
10,-8,0
11,-7,0
12,-6,0
13,-5,0
14,-4,0
15,-3,0
16,-2,0
17,-2,0
18,-1,0
19,0,0
20,0,0
21,1,0
22,2,0
23,3,0
24,4,0
25,5,0
26,6,0
27,7,0
28,8,0
29,8,0
30,9,0
31,10,0
32,11,0
33,12,0
34,13,0
35,14,0
36,14,0
37,15,0
38,16,0
39,17,0

Row,X_Shift,Y_Shift
0,0,-13
1,0,-13
2,0,-12
3,0,-12
4,0,-11
5,0,-11
6,0,-9
7,0,-8
8,0,-8
9,0,-7
10,0,-6
11,0,-6
12,0,-5
13,0,-4
14,0,-3
15,0,-2
16,0,-1
17,0,-1
18,0,0
19,0,0
20,0,1
21,0,2
22,0,3
23,0,4
24,0,5
25,0,6
26,0,6
27,0,7
28,0,8
29,0,9
30,0,9
31,0,10
32,0,11
33,0,12
34,0,13
35,0,14
36,0,15
37,0,16
38,0,16
39,0,16

Position,Total_X_Shift,Total_Y_Shift
(0,0),-14,-13
(1,0),-14,-13
(2,0),-14,-13
(3,0),-13,-13
(4,0),-13,-13
(5,0),-12,-13
(6,0),-11,-13
(7,0),-10,-13
(8,0),-9,-13
(9,0),-9,-13
(10,0),-8,-13
(11,0),-7,-13
(12,0),-6,-13
(13,0),-5,-13
(14,0),-4,-13
(15,0),-3,-13
(16,0),-2,-13
(17,0),-2,-13
(18,0),-1,-13
(19,0),0,-13
(20,0),0,-13
(21,0),1,-13
(22,0),2,-13
(23,0),3,-13
(24,0),4,-13
(25,0),5,-13
(26,0),6,-13
(27,0),7,-13
(28,0),8,-13
(29,0),8,-13
(30,0),9,-13
(31,0),10,-13
(32,0),11,-13
(33,0),12,-13
(34,0),13,-13
(35,0),14,-13
(36,0),14,-13
(37,0),15,-13
(38,0),16,-13
(39,0),17,-13
(0,1),-14,-13
(1,1),-14,-13
(2,1),-14,-13
(3,1),-13,-13
(4,1),-13,-13
(5,1),-12,-13
(6,1),-11,-13
(7,1),-10,-13
(8,1),-9,-13
(9,1),-9,-13
(10,1),-8,-13
(11,1),-7,-13
(12,1),-6,-13
(13,1),-5,-13
(14,1),-4,-13
(15,1),-3,-13
(16,1),-2,-13
(17,1),-2,-13
(18,1),-1,-13
(19,1),0,-13
(20,1),0,-13
(21,1),1,-13
(22,1),2,-13
(23,1),3,-13
(24,1),4,-13
(25,1),5,-13
(26,1),6,-13
(27,1),7,-13
(28,1),8,-13
(29,1),8,-13
(30,1),9,-13
(31,1),10,-13
(32,1),11,-13
(33,1),12,-13
(34,1),13,-13
(35,1),14,-13
(36,1),14,-13
(37,1),15,-13
(38,1),16,-13
(39,1),17,-13
(0,2),-14,-12
(1,2),-14,-12
(2,2),-14,-12
(3,2),-13,-12
(4,2),-13,-12
(5,2),-12,-12
(6,2),-11,-12
(7,2),-10,-12
(8,2),-9,-12
(9,2),-9,-12
(10,2),-8,-12
(11,2),-7,-12
(12,2),-6,-12
(13,2),-5,-12
(14,2),-4,-12
(15,2),-3,-12
(16,2),-2,-12
(17,2),-2,-12
(18,2),-1,-12
(19,2),0,-12
(20,2),0,-12
(21,2),1,-12
(22,2),2,-12
(23,2),3,-12
(24,2),4,-12
(25,2),5,-12
(26,2),6,-12
(27,2),7,-12
(28,2),8,-12
(29,2),8,-12
(30,2),9,-12
(31,2),10,-12
(32,2),11,-12
(33,2),12,-12
(34,2),13,-12
(35,2),14,-12
(36,2),14,-12
(37,2),15,-12
(38,2),16,-12
(39,2),17,-12
(0,3),-14,-12
(1,3),-14,-12
(2,3),-14,-12
(3,3),-13,-12
(4,3),-13,-12
(5,3),-12,-12
(6,3),-11,-12
(7,3),-10,-12
(8,3),-9,-12
(9,3),-9,-12
(10,3),-8,-12
(11,3),-7,-12
(12,3),-6,-12
(13,3),-5,-12
(14,3),-4,-12
(15,3),-3,-12
(16,3),-2,-12
(17,3),-2,-12
(18,3),-1,-12
(19,3),0,-12
(20,3),0,-12
(21,3),1,-12
(22,3),2,-12
(23,3),3,-12
(24,3),4,-12
(25,3),5,-12
(26,3),6,-12
(27,3),7,-12
(28,3),8,-12
(29,3),8,-12
(30,3),9,-12
(31,3),10,-12
